"Strain","Location","Isolation.type","SNP.cluster","Min.same","AMR.genotypes","day","month","year","Isolation.source.category","region"
"Other","ID","environmental/other",NA,NA,"Other",NA,10,2018,"Animal(Other)","West"
"Other","WA","environmental/other",NA,NA,"Other",NA,10,2018,"Animal(Other)","West"
"Other","ID","environmental/other",NA,NA,"Other",NA,10,2018,"Animal(Other)","West"
"Other","MA","clinical",NA,NA,"Other",NA,4,2018,"Missing and Other","Northeast"
"Other","TX","environmental/other",NA,NA,"Other",NA,1,2019,"Animal(Other)","South"
"Other","TX","environmental/other",NA,NA,"Other",NA,2,2019,"Animal(Other)","South"
"Other","TX","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE",NA,1,2019,"Animal(Other)","South"
"Other","TX","environmental/other",NA,NA,"Other",NA,2,2019,"Animal(Other)","South"
"Other","TX","environmental/other",NA,NA,"Other",NA,3,2019,"Animal(Other)","South"
"Other","IA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,7,2019,"Cattle","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,7,2019,"Poultry","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,7,2019,"Pig","Midwest"
"Other","IA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,7,2019,"Cattle","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,7,2019,"Poultry","Midwest"
"Other","IA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,7,2019,"Poultry","Midwest"
"Other","SD","environmental/other",NA,NA,"Other",NA,7,2019,"Poultry","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,7,2019,"Pig","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,7,2019,"Poultry","Midwest"
"Other","SD","environmental/other",NA,NA,"Other",NA,7,2019,"Poultry","Midwest"
"Other","SD","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,7,2019,"Pig","Midwest"
"Other","SD","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,7,2019,"Cattle","Midwest"
"Other","IA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,8,2019,"Cattle","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,8,2019,"Poultry","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,8,2019,"Pig","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,8,2019,"Poultry","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,8,2019,"Pig","Midwest"
"Other","ND","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,10,2019,"Cattle","Midwest"
"Other","ND","environmental/other",NA,NA,"Other",NA,10,2019,"Cattle","Midwest"
"Other","ND","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,10,2019,"Cattle","Midwest"
"Other","ND","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,10,2019,"Pig","Midwest"
"Other","ND","environmental/other",NA,NA,"Other",NA,10,2019,"Pig","Midwest"
"Other","TX","environmental/other",NA,NA,"Other",NA,8,2019,"Poultry","South"
"Other","TX","environmental/other",NA,NA,"Other",NA,9,2019,"Poultry","South"
"Other","TX","environmental/other",NA,NA,"Other",NA,9,2019,"Poultry","South"
"Other","TX","clinical",NA,NA,"Other",NA,4,2019,"Human","South"
"Other","TX","clinical",NA,NA,"Other",NA,7,2018,"Human","South"
"Other","TX","clinical",NA,NA,"Other",NA,7,2018,"Human","South"
"Other","TX","clinical",NA,NA,"Other",NA,6,2018,"Human","South"
"Other","TX","clinical",NA,NA,"Other",NA,6,2018,"Human","South"
"Other","TX","clinical",NA,NA,"Other",NA,5,2018,"Human","South"
"Other","TX","clinical",NA,NA,"Other",NA,4,2018,"Human","South"
"Other","WA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE",NA,11,2019,"Animal(Other)","West"
"Other","WA","environmental/other",NA,NA,"Other",NA,10,2019,"Animal(Other)","West"
"Other","WA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,10,2019,"Animal(Other)","West"
"Other","KY","environmental/other",NA,NA,"Other",NA,4,2018,"Human","South"
"Other","KY","environmental/other",NA,NA,"Other",NA,3,2018,"Human","South"
"Other","KY","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE",NA,3,2018,"Human","South"
"Other","KY","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,3,2018,"Human","South"
"Other","KY","environmental/other",NA,NA,"Other",NA,3,2018,"Human","South"
"Other","KY","environmental/other",NA,NA,"Other",NA,2,2018,"Human","South"
"Other","KY","environmental/other",NA,NA,"Other",NA,2,2018,"Human","South"
"Other","KY","environmental/other",NA,NA,"Other",NA,2,2018,"Human","South"
"Other","KY","environmental/other",NA,NA,"Other",NA,1,2018,"Human","South"
"Other","KY","environmental/other",NA,NA,"Other",NA,1,2018,"Human","South"
"Other","USA",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",NA,8,2019,"Missing and Other","USA, General"
"Other","USA",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",NA,8,2019,"Missing and Other","USA, General"
"Other","USA",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",NA,8,2019,"Missing and Other","USA, General"
"Other","USA",NA,NA,NA,"Other",NA,8,2019,"Human","USA, General"
"Other","IA","environmental/other",NA,NA,"Other",NA,9,2019,"Poultry","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,9,2019,"Pig","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,9,2019,"Poultry","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,9,2019,"Pig","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,9,2019,"Pig","Midwest"
"Other","IA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,9,2019,"Poultry","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,9,2019,"Pig","Midwest"
"Other","IA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,9,2019,"Cattle","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,9,2019,"Poultry","Midwest"
"Other","IA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,10,2019,"Poultry","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,10,2019,"Pig","Midwest"
"Other","IA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,10,2019,"Pig","Midwest"
"Other","SD","environmental/other",NA,NA,"Other",NA,9,2019,"Cattle","Midwest"
"Other","SD","environmental/other",NA,NA,"Other",NA,9,2019,"Poultry","Midwest"
"Other","SD","environmental/other",NA,NA,"Other",NA,9,2019,"Poultry","Midwest"
"Other","SD","environmental/other",NA,NA,"Other",NA,9,2019,"Pig","Midwest"
"Other","SD","environmental/other",NA,NA,"Other",NA,9,2019,"Pig","Midwest"
"Other","SD","environmental/other",NA,NA,"Other",NA,9,2019,"Cattle","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,10,2019,"Poultry","Midwest"
"Other","SD","environmental/other",NA,NA,"Other",NA,9,2019,"Poultry","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,10,2019,"Poultry","Midwest"
"Other","IA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,10,2019,"Pig","Midwest"
"Other","IL","environmental/other",NA,NA,"Other",NA,6,2019,"Animal(Other)","Midwest"
"Other","MO","environmental/other",NA,NA,"Other",NA,4,2019,"Animal(Other)","Midwest"
"Other","CA","environmental/other",NA,NA,"Other",NA,9,2019,"Poultry","West"
"Other","CA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,9,2019,"Poultry","West"
"Other","CO","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,12,2019,"Environment","West"
"Other","IA","environmental/other",NA,NA,"Other",NA,10,2019,"Pig","Midwest"
"Other","WA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE",NA,2,2019,"Animal(Other)","West"
"Other","WA","environmental/other",NA,NA,"Other",NA,2,2019,"Animal(Other)","West"
"Other","IA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,10,2019,"Cattle","Midwest"
"Other","IA","environmental/other",NA,NA,"acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE",NA,10,2019,"Cattle","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,10,2019,"Cattle","Midwest"
"Other","SD","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",NA,11,2019,"Cattle","Midwest"
"Other","SD","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,11,2019,"Cattle","Midwest"
"Other","WA","environmental/other",NA,NA,"Other",NA,3,2019,"Animal(Other)","West"
"Other","WA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE",NA,3,2019,"Animal(Other)","West"
"Other","SD","environmental/other",NA,NA,"Other",NA,11,2019,"Poultry","Midwest"
"Other","SD","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,11,2019,"Pig","Midwest"
"Other","SD","environmental/other",NA,NA,"Other",NA,11,2019,"Pig","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,10,2019,"Pig","Midwest"
"Other","SD","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,11,2019,"Cattle","Midwest"
"Other","SD","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,11,2019,"Cattle","Midwest"
"Other","SD","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",NA,11,2019,"Pig","Midwest"
"Other","SD","environmental/other",NA,NA,"Other",NA,11,2019,"Poultry","Midwest"
"Other","TX","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE",NA,4,2019,"Animal(Other)","South"
"Other","TX","environmental/other",NA,NA,"Other",NA,5,2019,"Animal(Other)","South"
"Other","TX","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE",NA,4,2019,"Animal(Other)","South"
"Other","TX","environmental/other",NA,NA,"Other",NA,4,2019,"Animal(Other)","South"
"Other","TX","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE",NA,4,2019,"Animal(Other)","South"
"Other","NY","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,7,2019,"Animal(Other)","Northeast"
"Other","NY","environmental/other",NA,NA,"Other",NA,8,2019,"Animal(Other)","Northeast"
"Other","IA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,10,2019,"Pig","Midwest"
"Other","IA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,10,2019,"Cattle","Midwest"
"Other","IA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,10,2019,"Poultry","Midwest"
"Other","IA","environmental/other",NA,NA,"Other",NA,10,2019,"Poultry","Midwest"
"Other","IA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,10,2019,"Poultry","Midwest"
"Other","ND","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,12,2019,"Pig","Midwest"
"Other","ND","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,12,2019,"Pig","Midwest"
"Other","ND","environmental/other",NA,NA,"Other",NA,12,2019,"Poultry","Midwest"
"Other","ND","environmental/other",NA,NA,"Other",NA,12,2019,"Pig","Midwest"
"Other","ND","environmental/other",NA,NA,"Other",NA,12,2019,"Cattle","Midwest"
"Other","ND","environmental/other",NA,NA,"Other",NA,12,2019,"Pig","Midwest"
"Other","WA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE",NA,5,2019,"Animal(Other)","West"
"Other","OR","environmental/other",NA,NA,"Other",NA,5,2019,"Animal(Other)","West"
"Other","WA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE",NA,6,2019,"Animal(Other)","West"
"Other","WA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE",NA,4,2019,"Animal(Other)","West"
"Other","MO","environmental/other",NA,NA,"Other",NA,8,2019,"Animal(Other)","Midwest"
"Other","TX","environmental/other",NA,NA,"Other",NA,9,2019,"Animal(Other)","South"
"Other","OK","environmental/other",NA,NA,"Other",NA,6,2019,"Animal(Other)","South"
"Other","MO","environmental/other",NA,NA,"Other",NA,8,2019,"Animal(Other)","Midwest"
"Other","OK","environmental/other",NA,NA,"Other",NA,6,2019,"Animal(Other)","South"
"Other","OK","environmental/other",NA,NA,"Other",NA,9,2019,"Animal(Other)","South"
"Other","OK","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE",NA,8,2019,"Animal(Other)","South"
"Other","OK","environmental/other",NA,NA,"Other",NA,8,2019,"Animal(Other)","South"
"Other","NY","environmental/other",NA,NA,"Other",NA,7,2019,"Animal(Other)","Northeast"
"Other","OK","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE",NA,4,2019,"Animal(Other)","South"
"Other","OK","environmental/other",NA,NA,"Other",NA,6,2019,"Animal(Other)","South"
"Other","TX","environmental/other",NA,NA,"Other",NA,12,2019,"Animal(Other)","South"
"Other","TX","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE",NA,12,2019,"Animal(Other)","South"
"Other","TX","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE",NA,11,2019,"Animal(Other)","South"
"Other","TX","environmental/other",NA,NA,"Other",NA,10,2019,"Animal(Other)","South"
"Other","NC","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,3,2019,"Pig","South"
"Other","NC","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,3,2019,"Pig","South"
"Other","ND","environmental/other","PDS000073520.2",9,"Other",NA,8,2019,"Poultry","Midwest"
"Other","IA","environmental/other","PDS000077948.2",24,"Other",NA,10,2019,"Poultry","Midwest"
"Other","SD","environmental/other","PDS000080778.2",6,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,8,2019,"Pig","Midwest"
"Other","USA",NA,"PDS000083131.2",NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",NA,8,2019,"Missing and Other","USA, General"
"Other","USA",NA,"PDS000083131.2",NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",NA,8,2019,"Human","USA, General"
"Other","USA",NA,"PDS000083131.2",NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",NA,8,2019,"Human","USA, General"
"Other","KS","environmental/other","PDS000098147.2",25,"Other",NA,10,2019,"Poultry","Midwest"
"Other","IA","environmental/other","PDS000098152.1",20,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",NA,5,2019,"Cattle","Midwest"
"Other","SD","environmental/other","PDS000072194.2",8,"Other",NA,7,2019,"Cattle","Midwest"
"Other","NE","clinical","PDS000034128.287",0,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,9,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000034128.287",0,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,8,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000035073.169",0,"Other",NA,6,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000083644.70",0,"Other",NA,10,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000083644.70",0,"Other",NA,5,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000063860.16",1,"Other",NA,9,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000003575.140",1,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,4,2018,"Missing and Other","Midwest"
"Other","MA","clinical","PDS000079375.274",2,"Other",NA,8,2018,"Human","Northeast"
"Other","USA","clinical","PDS000079375.274",1,"Other",NA,6,2018,"Missing and Other","USA, General"
"Other","MA","clinical","PDS000004498.298",12,"Other",NA,10,2018,"Human","Northeast"
"Other","MA","clinical","PDS000004498.298",0,"Other",NA,1,2019,"Human","Northeast"
"Other","NE","clinical","PDS000114124.21",0,"Other",NA,7,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000114124.21",0,"Other",NA,7,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000114124.21",0,"Other",NA,6,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000076681.93",0,"Other",NA,8,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000076681.93",0,"Other",NA,4,2018,"Missing and Other","Midwest"
"Other","OK","environmental/other","PDS000102499.2",26,"Other",NA,8,2019,"Animal(Other)","South"
"Other","OH","environmental/other","PDS000107709.1",NA,"Other",NA,5,2019,"Animal(Other)","Midwest"
"Other","GA","environmental/other","PDS000110000.2",28,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",NA,10,2019,"Cattle","South"
"Other","TN","environmental/other","PDS000112928.2",NA,"Other",NA,12,2019,"Pig","South"
"Other","OK","environmental/other","PDS000117105.1",NA,"Other",NA,9,2018,"Animal(Other)","South"
"Other","NE","clinical","PDS000117186.31",0,"Other",NA,4,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000117186.31",1,"Other",NA,4,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000117186.31",0,"Other",NA,4,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000033861.190",0,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,9,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000033861.190",3,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,3,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000111134.11",0,"Other",NA,2,2018,"Missing and Other","Midwest"
"Other","TX","environmental/other","PDS000039843.162",62,"Other",NA,8,2018,"Animal(Other)","South"
"Other","OH","environmental/other","PDS000049015.9",30,"Other",NA,1,2019,"Pig","Midwest"
"Other","SD",NA,"PDS000049015.9",NA,"Other",NA,7,2018,"Human","Midwest"
"Other","NE","clinical","PDS000010233.95",2,"Other",NA,9,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000035170.156",1,"Other",NA,9,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000035170.156",1,"Other",NA,9,2018,"Missing and Other","Midwest"
"Other","CA","environmental/other","PDS000035295.70",1,"acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE",NA,7,2018,"Environment","West"
"Other","CA","environmental/other","PDS000035295.70",1,"acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE",NA,7,2018,"Environment","West"
"Other","NE","clinical","PDS000035295.70",0,"Other",NA,4,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000035295.70",0,"Other",NA,4,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000035295.70",2,"Other",NA,4,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000035295.70",0,"Other",NA,4,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000035295.70",0,"Other",NA,4,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000035295.70",0,"Other",NA,4,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000035295.70",0,"Other",NA,4,2018,"Missing and Other","Midwest"
"Other","IA","environmental/other","PDS000037878.67",15,"Other",NA,7,2019,"Poultry","Midwest"
"Other","PA","environmental/other","PDS000037878.67",13,"Other",NA,6,2019,"Poultry","Northeast"
"Other","NE","clinical","PDS000001063.82",4,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,7,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000015689.77",1,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,10,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000015689.77",2,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,9,2018,"Missing and Other","Midwest"
"Other","SD","environmental/other","PDS000112919.1",NA,"Other",NA,11,2019,"Poultry","Midwest"
"Other","MO","environmental/other","PDS000112674.1",NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,7,2019,"Animal(Other)","Midwest"
"Other","ND","environmental/other","PDS000112905.1",NA,"Other",NA,10,2019,"Poultry","Midwest"
"Other","IA","environmental/other","PDS000115181.1",32,"Other",NA,10,2019,"Poultry","Midwest"
"Other","ND","environmental/other","PDS000119968.1",33,"Other",NA,8,2019,"Poultry","Midwest"
"Other","GA","environmental/other","PDS000110090.1",NA,"acrF=COMPLETE,blaEC=COMPLETE",NA,2,2019,"Pig","South"
"Other","NJ","environmental/other","PDS000117094.1",NA,"Other",NA,2,2018,"Animal(Other)","Northeast"
"Other","IA","environmental/other","PDS000048441.44",29,"Other",NA,8,2019,"Poultry","Midwest"
"Other","WA","environmental/other","PDS000053578.50",58,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,8,2018,"Environment","West"
"Other","NE","clinical","PDS000014619.47",2,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,5,2018,"Missing and Other","Midwest"
"Other","MA","clinical","PDS000062117.4",2,"Other",NA,1,2019,"Human","Northeast"
"Other","SD","environmental/other","PDS000049485.28",26,"Other",NA,10,2019,"Poultry","Midwest"
"Other","IA","environmental/other","PDS000049485.28",14,"Other",NA,10,2019,"Poultry","Midwest"
"Other","NE","clinical","PDS000035370.23",0,"Other",NA,6,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000035548.21",2,"Other",NA,8,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000033972.22",8,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,6,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000018832.64",2,"Other",NA,6,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000006247.20",5,"Other",NA,10,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000035241.50",0,"Other",NA,7,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000034451.30",1,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,11,2018,"Missing and Other","Midwest"
"Other","PA","environmental/other","PDS000049467.14",23,"Other",NA,7,2019,"Poultry","Northeast"
"Other","IA","environmental/other","PDS000049467.14",10,"Other",NA,6,2019,"Poultry","Midwest"
"Other","VA","environmental/other","PDS000026524.36",2,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,3,2019,"Produce and Food","South"
"Other","TX","environmental/other","PDS000026524.36",0,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,3,2019,"Produce and Food","South"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","USA",NA,"PDS000017463.3",NA,"Other",NA,5,2018,"Pig","USA, General"
"Other","IA","environmental/other","PDS000033221.29",16,"Other",NA,9,2019,"Poultry","Midwest"
"Other","KS","environmental/other","PDS000033221.29",26,"Other",NA,2,2019,"Poultry","Midwest"
"Other","KS","environmental/other","PDS000120850.1",10,"Other",NA,1,2019,"Poultry","Midwest"
"Other","NE","clinical","PDS000033806.36",0,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,9,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000033895.30",2,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,7,2018,"Missing and Other","Midwest"
"Other","NE","clinical","PDS000033761.36",1,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,6,2018,"Missing and Other","Midwest"
